id,name,type
E14000530,Aldershot,WPC
E14000531,Aldridge-Brownhills,WPC
E14000532,Altrincham and Sale West,WPC
E14000533,Amber Valley,WPC
E14000534,Arundel and South Downs,WPC
E14000535,Ashfield,WPC
E14000536,Ashford,WPC
E14000537,Ashton-under-Lyne,WPC
E14000538,Aylesbury,WPC
E14000539,Banbury,WPC
E14000540,Barking,WPC
E14000541,Barnsley Central,WPC
E14000542,Barnsley East,WPC
E14000543,Barrow and Furness,WPC
E14000544,Basildon and Billericay,WPC
E14000545,Basingstoke,WPC
E14000546,Bassetlaw,WPC
E14000547,Bath,WPC
E14000548,Batley and Spen,WPC
E14000549,Battersea,WPC
E14000550,Beaconsfield,WPC
E14000551,Beckenham,WPC
E14000552,Bedford,WPC
E14000553,Bermondsey and Old Southwark,WPC
E14000554,Berwick-upon-Tweed,WPC
E14000555,Bethnal Green and Bow,WPC
E14000556,Beverley and Holderness,WPC
E14000557,Bexhill and Battle,WPC
E14000558,Bexleyheath and Crayford,WPC
E14000559,Birkenhead,WPC
E14000560,"Birmingham, Edgbaston",WPC
E14000561,"Birmingham, Erdington",WPC
E14000562,"Birmingham, Hall Green",WPC
E14000563,"Birmingham, Hodge Hill",WPC
E14000564,"Birmingham, Ladywood",WPC
E14000565,"Birmingham, Northfield",WPC
E14000566,"Birmingham, Perry Barr",WPC
E14000567,"Birmingham, Selly Oak",WPC
E14000568,"Birmingham, Yardley",WPC
E14000569,Bishop Auckland,WPC
E14000570,Blackburn,WPC
E14000571,Blackley and Broughton,WPC
E14000572,Blackpool North and Cleveleys,WPC
E14000573,Blackpool South,WPC
E14000574,Blaydon,WPC
E14000575,Blyth Valley,WPC
E14000576,Bognor Regis and Littlehampton,WPC
E14000577,Bolsover,WPC
E14000578,Bolton North East,WPC
E14000579,Bolton South East,WPC
E14000580,Bolton West,WPC
E14000581,Bootle,WPC
E14000582,Boston and Skegness,WPC
E14000583,Bosworth,WPC
E14000584,Bournemouth East,WPC
E14000585,Bournemouth West,WPC
E14000586,Bracknell,WPC
E14000587,Bradford East,WPC
E14000588,Bradford South,WPC
E14000589,Bradford West,WPC
E14000590,Braintree,WPC
E14000591,Brent Central,WPC
E14000592,Brent North,WPC
E14000593,Brentford and Isleworth,WPC
E14000594,Brentwood and Ongar,WPC
E14000595,Bridgwater and West Somerset,WPC
E14000596,Brigg and Goole,WPC
E14000597,"Brighton, Kemptown",WPC
E14000598,"Brighton, Pavilion",WPC
E14000599,Bristol East,WPC
E14000600,Bristol North West,WPC
E14000601,Bristol South,WPC
E14000602,Bristol West,WPC
E14000603,Broadland,WPC
E14000604,Bromley and Chislehurst,WPC
E14000605,Bromsgrove,WPC
E14000606,Broxbourne,WPC
E14000607,Broxtowe,WPC
E14000608,Buckingham,WPC
E14000609,Burnley,WPC
E14000610,Burton,WPC
E14000611,Bury North,WPC
E14000612,Bury South,WPC
E14000613,Bury St Edmunds,WPC
E14000614,Calder Valley,WPC
E14000615,Camberwell and Peckham,WPC
E14000616,Camborne and Redruth,WPC
E14000617,Cambridge,WPC
E14000618,Cannock Chase,WPC
E14000619,Canterbury,WPC
E14000620,Carlisle,WPC
E14000621,Carshalton and Wallington,WPC
E14000622,Castle Point,WPC
E14000623,Central Devon,WPC
E14000624,Central Suffolk and North Ipswich,WPC
E14000625,Charnwood,WPC
E14000626,Chatham and Aylesford,WPC
E14000627,Cheadle,WPC
E14000628,Chelmsford,WPC
E14000629,Chelsea and Fulham,WPC
E14000630,Cheltenham,WPC
E14000631,Chesham and Amersham,WPC
E14000632,Chesterfield,WPC
E14000633,Chichester,WPC
E14000634,Chingford and Woodford Green,WPC
E14000635,Chippenham,WPC
E14000636,Chipping Barnet,WPC
E14000637,Chorley,WPC
E14000638,Christchurch,WPC
E14000639,Cities of London and Westminster,WPC
E14000640,City of Chester,WPC
E14000641,City of Durham,WPC
E14000642,Clacton,WPC
E14000643,Cleethorpes,WPC
E14000644,Colchester,WPC
E14000645,Colne Valley,WPC
E14000646,Congleton,WPC
E14000647,Copeland,WPC
E14000648,Corby,WPC
E14000649,Coventry North East,WPC
E14000650,Coventry North West,WPC
E14000651,Coventry South,WPC
E14000652,Crawley,WPC
E14000653,Crewe and Nantwich,WPC
E14000654,Croydon Central,WPC
E14000655,Croydon North,WPC
E14000656,Croydon South,WPC
E14000657,Dagenham and Rainham,WPC
E14000658,Darlington,WPC
E14000659,Dartford,WPC
E14000660,Daventry,WPC
E14000661,Denton and Reddish,WPC
E14000662,Derby North,WPC
E14000663,Derby South,WPC
E14000664,Derbyshire Dales,WPC
E14000665,Devizes,WPC
E14000666,Dewsbury,WPC
E14000667,Don Valley,WPC
E14000668,Doncaster Central,WPC
E14000669,Doncaster North,WPC
E14000670,Dover,WPC
E14000671,Dudley North,WPC
E14000672,Dudley South,WPC
E14000673,Dulwich and West Norwood,WPC
E14000674,Ealing Central and Acton,WPC
E14000675,Ealing North,WPC
