election_id,place_id,party,surname,first_name,votes
1,E14000530,Green Party,WALLACE,Donna Maria,1090
1,E14000530,UKIP,SWALES,John Roy,1796
1,E14000530,Liberal Democrats,HILLIAR,Alan Richard,3637
1,E14000530,Labour,PUFFETT,Gary John,15477
1,E14000530,Conservative,DOCHERTY,Leo,26950
1,E14000531,MRLP,BEECH,Mark William,565
1,E14000531,Liberal Democrats,GARRETT,Ian Anthony George,1343
1,E14000531,Labour,FISHER,John Gary,12010
1,E14000531,Conservative,MORTON,Wendy,26317
1,E14000532,Liberal Party,TAYLOR,Neil,299
1,E14000532,Green Party,COGGINS,Gerealdine,1000
1,E14000532,Liberal Democrats,BROPHY,Jane,4051
1,E14000532,Labour,WESTERN,Andrew,20507
1,E14000532,Conservative,BRADY,Graham,26933
1,E14000533,Independent,BAMFORD,Daniel Joseph,551
1,E14000533,Green Party,MCGUINNESS,Matthew,650
1,E14000533,Liberal Democrats,SMITH,Catherine Mary,1100
1,E14000533,Labour,DAWSON,James Clifford Hedley,17605
1,E14000533,Conservative,MILLS,Nigel John,25905
1,E14000534,UKIP,WALLACE,John Richard,1668
1,E14000534,Green Party,PRIOR,Johanna,2542
1,E14000534,Liberal Democrats,KAPADIA,Shweta,4783
1,E14000534,Labour,FIFE,Caroline Joan,13690
1,E14000534,Conservative,HERBERT,Nick,37573
1,E14000535,Green Party,RANGI,Arranjit Singh,398
1,E14000535,Liberal Democrats,CHARLESWORTH,Robert Andrew,969
1,E14000535,UKIP,YOUNG,Raymond,1885
1,E14000535,Ashfield,TURNER,Gail,4612
1,E14000535,Conservative,HARPER,Anthony,20844
1,E14000535,Labour,DE PIERO,Gloria,21285
1,E14000536,Green Party,ROSSI,Amanda,1402
1,E14000536,UKIP,O'BRIAN,Gerald Michael,2218
1,E14000536,Liberal Democrats,GEE-TURNER,Adrian John,3101
1,E14000536,Labour,GATHERN,Sally Ann,17840
1,E14000536,Conservative,GREEN,Damian Howard,35318
1,E14000537,Green Party,HUNTER-ROSSALL,Anderw David,534
1,E14000537,Liberal Democrats,HICKS,Carly May,646
1,E14000537,UKIP,JACKSON,Maurice,1878
1,E14000537,Conservative,RANKIN,Jack Michael,12710
1,E14000537,Labour,RAYNER,Angela,24005
1,E14000538,Independent,MICHAEL,	Kyle Arron Paul,620
1,E14000538,Green Party,SIMPSON ,	Coral Rose Kathleen,1237
1,E14000538,UKIP,SRAO ,	Vijay Singh,1296
1,E14000538,Liberal Democrats,LAMBERT,	Steven Michael,5660
1,E14000538,Labour,BATEMAN,	Mark Trevor,17657
1,E14000538,Conservative,LIDINGTON,	Dav Roy,32313
1,E14000539,Independent,EDWARDS,Roseanne,927
1,E14000539,Green Party,MIDDLETON,Ian Michael,1225
1,E14000539,UKIP,BIRD,Dickie,1581
1,E14000539,Liberal Democrats,HOWSON,John Orrell,3452
1,E14000539,Labour,WOODCOCK,Sean Lee,20989
1,E14000539,Conservative,PRENTIS,Victoria Mary Boswell,33388
1,E14000540,Independent,FALVEY,Noel,295
1,E14000540,Liberal Democrats,PEARCE,Pauline,599
1,E14000540,Green Party,BUTTERFIELD,Shannon,724
1,E14000540,UKIP,GRAVETT,Roger Edwin,3031
1,E14000540,Conservative,TALATI,Minesh,10711
1,E14000540,Labour,HODGE,Margaret Eve,32319
1,E14000541,English Democrats,MORRIS,Stephen,211
1,E14000541,Liberal Democrats,RIDGWAY,John Anthony David,549
1,E14000541,Green Party,TROTMAN,Richard Thomas James,570
1,E14000541,UKIP,FELTON,Gavin,3339
1,E14000541,Conservative,FORD,Amanda Jayne,9436
1,E14000541,Labour,JARVIS,Daniel Owen,24982
1,E14000542,English Democrats,RIDDIOUGH,Kevin David,287
1,E14000542,Liberal Democrats,TURNER,Nicola Jane,750
1,E14000542,Yorkshire,DEVOY,Antony John,1215
1,E14000542,UKIP,DALTON,James,3247
1,E14000542,Conservative,LLOYD,Andrew Paul,10997
1,E14000542,Labour,PEACOCK,Stephanie Louise,24280
1,E14000543,Green Party,O�HARA,Robert  (Known As Rob),375
1,E14000543,UKIP,PIPER,Alan Nigel,962
1,E14000543,Liberal Democrats,BIRCHALL,Loraine,1278
1,E14000543,Conservative,FELL,Simon Richard James,22383
1,E14000543,Labour,WOODCOCK,John Zak,22592
1,E14000544,Liberal Democrats,HARRISON,Antonia Michelle,1548
1,E14000544,UKIP,HUGHES,Tina Rose,2008
1,E14000544,Labour,BLOCK,Kayte Reeta,13981
1,E14000544,Conservative,BARON,John Charles,27381
1,E14000545,LP,NEVILLE,Scott,213
1,E14000545,Green Party,WINTER,Richard Simon,1106
1,E14000545,UKIP,STONE,Alan Harvey,1681
1,E14000545,Liberal Democrats,SHAW,John Daniel,3406
1,E14000545,Labour,BRIDGEMAN,Terry,20044
1,E14000545,Conservative,MILLER,Maria Frances Lewis,29510
1,E14000546,Independent,TURNER,Nigel,1014
1,E14000546,Liberal Democrats,DUVEEN,Leon Maurice,1154
1,E14000546,Conservative,SIMPSON,Annette,22615
1,E14000546,Labour,MANN,John,27467
1,E14000547,Green Party,FIELD,Eleanor Rosemary,1126
1,E14000547,Labour,RAYMENT,Joseph Michael,7279
1,E14000547,Conservative,HOWLETT,Benjamin John,17742
1,E14000547,Liberal Democrats,HOBHOUSE,Wera Benedicta,23436
1,E14000548,Independent,HANIF,Mohammed Kasif,58
1,E14000548,Green Party,FREEMAN,Alan John,695
1,E14000548,Independent,LUKIC,Aleks,1076
1,E14000548,Liberal Democrats,LAWSON,John Craig,1224
1,E14000548,Conservative,MYATT,Ann Elizabeth,20883
1,E14000548,Labour,BRABIN,Tracy Lynn,29844
1,E14000549,SP,LAMBERT,Daniel Peter,32
1,E14000549,UKIP,POWER,Eugene,357
1,E14000549,Green Party,DAVIS,Lois Elaine,866
1,E14000549,Independent,COGHLAN,Christopher Austin Francis,1234
1,E14000549,Liberal Democrats,DAVIS,Richard Adam,4401
1,E14000549,Conservative,ELLISON,Jane Elizabeth,22876
1,E14000549,Labour,DE CORDOVA,Marsha Chantol,25292
1,E14000550,Green Party,SECKER,Russell Justin Robert,1396
1,E14000550,UKIP,SHEARME,John Edward,1609
1,E14000550,Liberal Democrats,CHAPMAN,Peter Jeffrey,4448
1,E14000550,Labour,ENGLISH,James Robert,12016
1,E14000550,Conservative,GRIEVE,Dominic Charles Roberts,36559
1,E14000551,Green Party,FABRICANT,Ruth,1380
1,E14000551,Liberal Democrats,IRELAND,Julie Mary,4073
1,E14000551,Labour,AHMAD,Marina Masuma Bin Kabir,15545
1,E14000551,Conservative,STEWART,Bob,30632
1,E14000552,Green Party,BYWATER,Lucy Clare�,1008
1,E14000552,Liberal Democrats,VANN,Henry Paul,2837
1,E14000552,Conservative,FULLER,Richard,21923
1,E14000552,Labour,YASIN,Mohammad,22712
1,E14000553,Independent,CLARKE,James Stuart,113
1,E14000553,Green Party,TYSON,Jonathan William,639
1,E14000553,UKIP,JONES,Elizabeth Eirwen,838
1,E14000553,Conservative,BAILLIE,Siobhan Kathleen,7581
1,E14000553,Liberal Democrats,HUGHES,Simon Henry Ward,18189
1,E14000553,Labour,COYLE,Neil,31161
1,E14000554,Green Party,STEWART,Thomas Leslie,787
1,E14000554,Liberal Democrats,PORKSEN,Julien,8916
1,E14000554,Labour,DICKINSON,Scott James,10364
1,E14000554,Conservative,TEVELYAN,Anne-Marie Belinda,22145
1,E14000555,UKIP,DE WULVERTON,Ian Roy,894
1,E14000555,Green Party,POLSON,Alistair James,1516
1,E14000555,Liberal Democrats,DYER,William Peter Henry,2982
1,E14000555,Independent,MASROOR,Ajmal Hussain,3888
1,E14000555,Conservative,CHIRICO,Charlotte Alice,7576
1,E14000555,Labour,ALI,Rushanara,42969
1,E14000556,Green Party,HOWARTH,Richard John,716
1,E14000556,Yorkshire,WALTON,Lee Richard,1158
1,E14000556,Liberal Democrats,HEALY,Denis,2808
1,E14000556,Labour,BOAL,Johanna Rose,18457
1,E14000556,Conservative,STUART,Graham Charles,32499
1,E14000557,Green Party,KENT,Jonathan Christopher,1438
1,E14000557,UKIP,BASTIN,Geoffrey Bernard,2006
1,E14000557,Liberal Democrats,KEMP,Joel Peter,4485
1,E14000557,Labour,BAYLISS,Christine Ann,14689
1,E14000557,Conservative,MERRIMAN,Huw William,36854
1,E14000558,BNP,FINCH,Peter Robert,290
1,E14000558,Green Party,LOBO,Ivor James,601
1,E14000558,Liberal Democrats,REYNOLDS,Simone,1201
1,E14000558,UKIP,FERRO,Mike,1944
1,E14000558,Labour,BORELLA,Stefano Paolo,16040
1,E14000558,Conservative,EVENNETT,David Anthony,25113
1,E14000559,Green Party,CLOUGH,Jayne Louise Stephanie,943
1,E14000559,Liberal Democrats,BRAME,Allan John,1118
1,E14000559,Conservative,GARDINER,Stewart Anthony,8044
1,E14000559,Labour,FIELD,Frank,33558
1,E14000560,ENU,RODGERS,Dick,155
1,E14000560,Green Party,KIFF,Alice,562
1,E14000560,Liberal Democrats,GREEN,Colin Francis,1564
1,E14000560,Conservative,SQUIRE,Caroline,17207
1,E14000560,Labour,GILL,Preet,24124
1,E14000561,Green Party,LOVATT,James,610
1,E14000561,Liberal Democrats,HOLTOM,Ann,750
1,E14000561,Conservative,ALDEN,Robert James Cambray,14286
1,E14000561,Labour,DROMEY,Jack,21571
1,E14000562,Green Party,COX,Patrick,831
1,E14000562,Liberal Democrats,EVANS,Jerry,3137
1,E14000562,Conservative,RANGER,Reena,8199
1,E14000562,Labour,GODSIFF,Roger Duncan,42143
1,E14000563,Green Party,THOMAS,Clare,387
1,E14000563,Liberal Democrats,BENNION,Phil,805
1,E14000563,UKIP,KHAN,Mohammed Gultasab,1016
1,E14000563,Conservative,REZA,Ahmereen,6580
1,E14000563,Labour,BYRNE,Liam Dominic,37606
1,E14000564,Green Party,DENNIS,Kefentse,533
1,E14000564,Liberal Democrats,DARGUE,Lee James,1156
1,E14000564,Conservative,BROWNING,Andrew Richard,5452
1,E14000564,Labour,MAHMOOD,Shabana,34166
1,E14000565,Green Party,MASTERS,Eleanor,864
1,E14000565,Liberal Democrats,HARMER,Roger Kingdon,959
1,E14000565,Conservative,POWELL-CHANDLER,Meg,18929
1,E14000565,Labour,BURDEN,Richard Haines,23596
1,E14000566,OBP,SINGH,Harjinder,99
1,E14000566,Green Party,RANA,Vijay,591
1,E14000566,SLP,BHATOE,Shangara Singh,592
1,E14000566,Liberal Democrats,SINGH,Harjun,1080
1,E14000566,Conservative,HODIVALA,Charlotte Cyrus,11726
1,E14000566,Labour,MAHMOOD,Khalid,30109
1,E14000567,Green Party,PRITCHARD,Julien,876
1,E14000567,Liberal Democrats,RADCLIFFE,David Stephen,1644
1,E14000567,Conservative,SHRUBSOLE,Sophie Olivia,15629
1,E14000567,Labour,MCCABE,Steve,30836
1,E14000568,Independent,NOWSHED,Abu,100
1,E14000568,Green Party,GARGHAN,Christopher,280
1,E14000568,UKIP,CLAYTON,Paul Stephen,1916
1,E14000568,Liberal Democrats,HEMMING,John Alexander Melvin,7984
1,E14000568,Conservative,AFZAL,Mohammed,8824
1,E14000568,Labour,PHILLIPS,Jess,25398
1,E14000569,BNP,WALKER,Adam,991
1,E14000569,Liberal Democrats,MORRISSEY,Ciaran Joseph,1176
1,E14000569,Conservative,ADAMS,Christopher Fraser,20306
1,E14000569,Labour,GOODMAN,Helen Catherine,20808
1,E14000570,Liberal Democrats,AHMED,Irfan,709
1,E14000570,Independent,MILLER,Duncan Robert,878
1,E14000570,Conservative,EASTWOOD,Robert John,12780
